Id	LotFrontage	LotArea	Street	Neighborhood	YearBuilt	YearRemodAdd	CentralAir	PavedDrive	SaleCondition	SalePrice
1376	89	10991	Pave	Timber	2007	2007	Y	Y	Partial	239000
1377	52	6292	Pave	SWISU	1930	1950	N	Y	Normal	91000
1378	60	10998	Pave	Edwards	1941	1960	Y	Y	Normal	117000
1379	21	1953	Pave	BrDale	1973	1973	Y	Y	Normal	83000
1380	73	9735	Pave	Timber	2006	2007	Y	Y	Normal	167500
1381	45	8212	Pave	Edwards	1914	1950	N	Y	Normal	58500
1382	NA	12925	Pave	NAmes	1970	1970	Y	Y	Normal	237500
1383	60	7200	Pave	OldTown	1920	1950	Y	N	Normal	157000
1384	NA	25339	Pave	Sawyer	1918	2007	Y	N	Normal	112000
1385	60	9060	Pave	Edwards	1939	1950	Y	P	Normal	105000
1386	40	5436	Pave	IDOTRR	1922	2007	Y	N	Normal	125500
1387	80	16692	Pave	NWAmes	1978	1978	Y	Y	Normal	250000
1388	60	8520	Pave	OldTown	1916	1950	N	Y	Family	136000
1389	42	14892	Pave	Gilbert	2006	2007	Y	Y	Normal	377500
1390	60	6000	Pave	BrkSide	1941	1950	Y	Y	Normal	131000
1391	70	9100	Pave	CollgCr	2000	2000	Y	Y	Normal	235000
1392	65	8944	Pave	NAmes	1967	1967	Y	Y	Normal	124000
1393	68	7838	Pave	NAmes	1967	1967	Y	Y	Normal	123000
1394	60	10800	Pave	OldTown	1905	2000	N	Y	Normal	163000
1395	53	4045	Pave	Blmngtn	2006	2006	Y	Y	Partial	246578
1396	88	12665	Pave	Timber	2005	2006	Y	Y	Normal	281213
1397	NA	57200	Pave	Timber	1948	1950	Y	N	Normal	160000
1398	51	6120	Pave	BrkSide	1920	2004	Y	N	Normal	137500
1399	60	7200	Pave	NAmes	1950	1982	Y	Y	Normal	138000
1400	51	6171	Pave	SWISU	1925	1990	Y	Y	Normal	137450
1401	50	6000	Pave	BrkSide	1929	1950	Y	Y	Normal	120000
1402	62	7415	Pave	Gilbert	2004	2004	Y	Y	Normal	193000
1403	64	6762	Pave	CollgCr	2006	2006	Y	Y	Partial	193879
1404	49	15256	Pave	Somerst	2007	2007	Y	Y	Normal	282922
1405	60	10410	Pave	OldTown	1915	1950	Y	Y	Family	105000
1406	44	3842	Pave	Crawfor	2004	2005	Y	Y	Normal	275000
1407	70	8445	Pave	CollgCr	1972	2007	Y	Y	Normal	133000
1408	NA	8780	Pave	Mitchel	1985	1985	Y	Y	Normal	112000
1409	60	7740	Pave	OldTown	1910	1950	Y	Y	Normal	125500
1410	46	20544	Pave	NWAmes	1986	1991	Y	Y	Normal	215000
1411	79	12420	Pave	CollgCr	2001	2001	Y	Y	Normal	230000
1412	80	9600	Pave	NAmes	1950	2005	Y	Y	Normal	140000
1413	60	7200	Pave	NAmes	1949	1950	N	Y	Normal	90000
1414	88	10994	Pave	SawyerW	2005	2006	Y	Y	Abnorml	257000
1415	64	13053	Pave	BrkSide	1923	2000	Y	N	Normal	207000
1416	51	3635	Pave	Blmngtn	2007	2007	Y	Y	Normal	175900
1417	60	11340	Pave	OldTown	1885	1950	Y	N	Normal	122500
1418	NA	16545	Pave	NoRidge	1998	1998	Y	Y	Normal	340000
1419	71	9204	Pave	NAmes	1963	1963	Y	Y	Normal	124000
1420	NA	16381	Pave	Crawfor	1969	1969	Y	Y	Normal	223000
1421	90	11700	Pave	NWAmes	1968	1968	Y	Y	Normal	179900
1422	53	4043	Pave	NPkVill	1977	1977	Y	Y	Normal	127500
1423	37	4435	Pave	CollgCr	2003	2003	Y	Y	Normal	136500
1424	NA	19690	Pave	Edwards	1966	1966	Y	Y	Alloca	274970
1425	NA	9503	Pave	NAmes	1958	1983	Y	Y	Normal	144000
1426	80	10721	Pave	NAmes	1959	1959	Y	Y	Normal	142000
1427	81	10944	Pave	NoRidge	1994	1994	Y	Y	Normal	271000
1428	60	10930	Pave	NAmes	1945	1950	Y	Y	Normal	140000
1429	60	7200	Pave	OldTown	1940	1992	Y	Y	Abnorml	119000
1430	NA	12546	Pave	NWAmes	1981	1981	Y	Y	Normal	182900
1431	60	21930	Pave	Gilbert	2005	2005	Y	Y	Normal	192140
1432	NA	4928	Pave	NPkVill	1976	1976	Y	Y	Normal	143750
1433	60	10800	Pave	OldTown	1927	2007	Y	Y	Normal	64500
1434	93	10261	Pave	Gilbert	2000	2000	Y	Y	Normal	186500
1435	80	17400	Pave	Mitchel	1977	1977	Y	P	Normal	160000
1436	80	8400	Pave	NAmes	1962	2005	Y	Y	Abnorml	174000
1437	60	9000	Pave	NAmes	1971	1971	Y	Y	Normal	120500
1438	96	12444	Pave	NridgHt	2008	2008	Y	Y	Partial	394617
1439	90	7407	Pave	OldTown	1957	1996	Y	Y	Normal	149700
1440	80	11584	Pave	NWAmes	1979	1979	Y	Y	Normal	197000
1441	79	11526	Pave	Crawfor	1922	1994	Y	Y	Normal	191000
1442	NA	4426	Pave	CollgCr	2004	2004	Y	Y	Normal	149300
1443	85	11003	Pave	Somerst	2008	2008	Y	Y	Normal	310000
1444	NA	8854	Pave	BrkSide	1916	1950	N	P	Normal	121000
1445	63	8500	Pave	CollgCr	2004	2004	Y	Y	Normal	179600
1446	70	8400	Pave	Sawyer	1966	1966	Y	Y	Normal	129000
1447	NA	26142	Pave	Mitchel	1962	1962	Y	P	Normal	157900
1448	80	10000	Pave	CollgCr	1995	1996	Y	Y	Normal	240000
1449	70	11767	Pave	Edwards	1910	2000	N	Y	Normal	112000
1450	21	1533	Pave	MeadowV	1970	1970	Y	Y	Abnorml	92000
1451	60	9000	Pave	NAmes	1974	1974	Y	Y	Normal	136000
1452	78	9262	Pave	Somerst	2008	2009	Y	Y	Partial	287090
1453	35	3675	Pave	Edwards	2005	2005	Y	Y	Normal	145000
1454	90	17217	Pave	Mitchel	2006	2006	Y	Y	Abnorml	84500
1455	62	7500	Pave	Somerst	2004	2005	Y	Y	Normal	185000
1456	62	7917	Pave	Gilbert	1999	2000	Y	Y	Normal	175000
1457	85	13175	Pave	NWAmes	1978	1988	Y	Y	Normal	210000
1458	66	9042	Pave	Crawfor	1941	2006	Y	Y	Normal	266500
1459	68	9717	Pave	NAmes	1950	1996	Y	Y	Normal	142125
1460	75	9937	Pave	Edwards	1965	1965	Y	Y	Normal	147500
